Graph Name,N,M,Density,S-T Dist,Diameter,PR_seq Flow,PR_seq Time,PBBS Flow,PBBS Time 1T,PBBS Time 2T,PBBS Time 4T,PBBS Time 8T,PBBS Time 16T,PBBS Time 32T,PBBS Time 64T
GeoLifeNoScale_2_sym_wgh.adj,24876978,65377384,2.62803,-1,11,0,4.783460,N/A,0,0,0,0,0,0,.002000
GeoLifeNoScale_15_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,21.941000,N/A,0,0,0,0,0,0,.006000
asia_sym_wgh.adj,unknown,unknown,unknown,unknown,unknown,23,98.025400,23,83.819000,91.861000,94.207000,91.002000,86.776000,87.794000,86.314000
er.adj,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,481900,ERROR,ERROR,14.429000,7.388000,3.869000,2.198000,1.856000
CHEM_10_wgh.adj,4208261,42082610,10,1,22961,12156,2.784370,12156,1.467000,1.465000,1.531000,1.463000,1.509000,1.579000,1.950000
planet_sym_wgh.adj,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
us_sym_wgh.adj,unknown,unknown,unknown,unknown,unknown,110,87.792800,110,43.260000,33.335000,31.505000,31.336000,31.885000,32.630000,36.761000
andorra_wgh.adj,9952,13050,1.31129,-1,90,0,.002857,N/A,.001000,.001000,.001000,.001000,.001000,.001000,.003000
HT_2_sym_wgh.adj,928991,2023042,2.17768,1,2,0,.090426,N/A,0,0,0,0,0,0,.002000
protein.adj,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
GeoLifeNoScale_15_sym_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,31.467600,N/A,0,0,0,0,0,0,.002000
RoadUSA_sym_wgh.adj,23947348,57708624,2.40981,-1,4610,0,5.920260,N/A,0,0,0,0,0,0,.002000
Cosmo50_2_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,99.425400,N/A,ERROR,ERROR,ERROR,ERROR,0,0,ERROR
north-america_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,49.923800,N/A,0,0,0,0,0,0,.002000
GeoLifeNoScale_5_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,8.769300,N/A,0,0,.003000,0,0,0,.002000
Household_2_wgh.adj,2049280,4098560,2,-1,28,0,.448948,N/A,0,0,0,0,0,0,.002000
GeoLifeNoScale_20_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,32.466100,N/A,0,0,0,0,0,0,.015000
HT_2_wgh.adj,928991,1857982,2,1,2,0,.083939,N/A,0,0,0,0,0,0,.002000
Germany_sym_wgh.adj,12277375,32266600,2.62814,487,1837,42748,14.282000,42748,4.728000,4.452000,3.894000,4.452000,4.331000,4.354000,4.571000
HT_5_wgh.adj,928991,4644955,5,1,3259,0,.164439,N/A,0,0,0,0,0,0,.002000
planet_wgh.adj,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
us_wgh.adj,unknown,unknown,unknown,unknown,unknown,3,55.815600,3,26.818000,20.432000,21.162000,21.234000,21.630000,22.825000,20.602000
